STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,RISK_NPCTL,RISK_SPCTL,FIPS,NDVI_summertime_max,Tree_canopy_cover,Public_park_cover,1kAccessibleParks,Share_of_the_tract_s_land_area_that_is_covered_by_impervious_2,Life_expectancy_raw_value_2021,Access_to_exercise_opportunities_raw_value_2021,Adult_smoking_raw_value_2021,Excessive_drinking_raw_value_2021,Uninsured_raw_value_2021,Adult_obesity_raw_value_2021,feasibility_index,environment_index,community_index,overall_index,result
Iowa,Polk,430640,15.206695345283800,Relatively Moderate,85.07320178230430,94.94949494949500,19153,0.779549566407148,0.073846611976624,0.12039,55,52.13265306122450,79.030526451,0.9349363738,0.1718241274,0.2461330198,0.0575224635,0.335,3.8088573555585E-09,7.31018182546063E-10,1.04864649312461E-08,1.50263404693506E-08,0.006470943259721160
Iowa,Hamilton,15673,11.655517548797800,Relatively Low,70.56015276893700,63.63636363636360,19079,0.886276388381325,0.020170469284058,0.01166,2,90.6,79.017479932,0.8485293179,0.1733022226,0.2589698186,0.0546517539,0.359,3.21216531861991E-09,8.61265631645064E-10,1.07964505899014E-08,1.48698815401663E-08,0.00023305565337902700
Iowa,Marshall,40648,13.772167331653900,Relatively Moderate,80.14003819223420,87.87878787878790,19127,0.885293284201869,0.028819041252136,0.00704,1,72.8,77.731366237,0.8141851998,0.1878060228,0.2294140326,0.0762973706,0.362,3.07746041159758E-09,7.93014516144572E-10,1.05855635534409E-08,1.44560384811831E-08,0.0005876090521831300
Iowa,Black Hawk,131090,14.859151982595200,Relatively Moderate,84.1502227880331,92.92929292929290,19013,0.857141470417726,0.036132783889771,0.02968,11,61.97368421052630,78.410039851,0.8340224273,0.1882466936,0.2641822089,0.055317429,0.31,3.20337951340672E-09,7.50591069377633E-10,1.04080190989236E-08,1.43619896817079E-08,0.0018827132273750900
Iowa,Jasper,36842,9.69437511416718,Relatively Low,55.44239338001270,35.35353535353540,19099,0.878059369303437,0.038485429286957,0.02795,4,72.88888888888890,79.213369293,0.7846750991,0.1980918322,0.2502818919,0.042750604,0.379,2.98142189863528E-09,7.85671154273555E-10,1.1055173056424E-08,1.48222661093328E-08,0.00054608192800004
Iowa,Story,89542,8.03455435028573,Very Low,39.401654996817300,15.151515151515200,19169,0.870796139698103,0.02955530166626,0.01595,16,67.4,81.942172971,0.931361819,0.1570119806,0.2370988117,0.0564081622,0.289,3.59622419291442E-09,7.41432978074798E-10,1.05290747436596E-08,1.48667319146488E-08,0.0013311969091014800
Iowa,Boone,26306,8.965761862414680,Relatively Low,48.63144493952900,28.28282828282830,19015,0.881681872245084,0.065325441360474,0.03197,2,78.0,79.453560622,0.8559264046,0.1825036483,0.2353155493,0.0454245283,0.391,3.24007846415053E-09,8.20424012727685E-10,1.09701477945551E-08,1.50306502714333E-08,0.0003953962860403240
Iowa,Tama,17767,13.303449972253300,Relatively Low,78.29408020369190,82.82828282828280,19171,0.88110651317271,0.053567762374878,0.01929,0,76.0,76.515035691,0.7678842798,0.2028902807,0.2450846308,0.0785639958,0.334,2.89763612649421E-09,8.19697886419655E-10,1.03503419218731E-08,1.4067675934787E-08,0.0002499403983333600
Iowa,Linn,211226,15.510917114605400,Relatively Moderate,86.1234882240611,96.96969696969700,19113,0.854454185109272,0.078618497848511,0.03379,16,60.02222222222220,80.47554425,0.9179693788,0.182936869,0.2276323145,0.0432851434,0.334,3.54568738734843E-09,7.64309572518512E-10,1.06188007399603E-08,1.49287976998272E-08,0.0031533502229437000
Iowa,Benton,26076,7.417064941193770,Very Low,32.781667727562100,8.080808080808080,19011,0.887525204898071,0.032375581264496,0.01152,0,85.0,80.068785586,0.502531063,0.1998590036,0.2706336636,0.0462927391,0.365,1.89631719406159E-09,8.23511308271651E-10,1.13547543899884E-08,1.40745828923217E-08,0.00036700882350018000
